"treeID","stemID","tag","StemTag","sp","quadrat","gx","gy","MeasureID","CensusID","dbh","pom","hom","ExactDate","DFstatus","codes","nostems","status","date"
10370,10370,"1761",NA,"GYMNFA","C1",42,11.5,22724,5,13,"1.3",1.3,2003-03-24,"alive",NA,1,"A",15788
10371,10371,"1762",NA,"STROCE","C1",43,14.9,22732,5,132,"1.3",1.3,2003-03-24,"alive",NA,1,"A",15788
10372,10372,"1764",NA,"GYMNFA","C1",41,14.8,22740,5,NA,"0",0,2003-03-24,"missing","K",1,"M",15788
10373,10373,"1765",NA,"STREEL","C1",44.7,16,22748,5,19,"1.3",1.3,2003-03-24,"alive","S",1,"A",15788
10374,10374,"1766",NA,"DRYPLO","C1",43.5,16.5,22756,5,NA,"0",0,2003-03-24,"missing","K",1,"A",15788
10375,10375,"1767",NA,"STROCE","C1",43,15.5,22764,5,NA,"0",0,2003-03-24,"missing","K",1,"M",15788
10376,10376,"1768",NA,"DIPTCA","C1",43,16.7,22772,5,278,"1.3",1.3,2003-03-24,"alive",NA,1,"A",15788
10377,10377,"1769",NA,"STREEL","C1",42.8,16.5,22780,5,24,"1.3",1.3,2003-03-24,"alive",NA,1,"A",15788
10378,10378,"1770",NA,"SANDKO","C1",43,18.2,22788,5,198,"1.3",1.3,2003-03-24,"alive",NA,1,"A",15788
10379,10379,"1773",NA,"DIOSLA","C1",43.5,19,22796,5,16,"1.3",1.3,2003-03-24,"alive",NA,1,"A",15788
10380,10380,"1801",NA,"GOM1QU","C1",46,14.5,22804,5,20,"1.3",1.3,2003-03-24,"alive",NA,1,"A",15788
10381,10381,"1803",NA,"GIROPA","C1",45,11.1,22812,5,50,"1.3",1.3,2003-03-24,"alive","C",1,"A",15788
10382,10382,"1804",NA,"SHORCU","C1",46.1,12.5,22820,5,196,"1.3",1.3,2003-03-24,"alive",NA,1,"A",15788
10383,10383,"1806",NA,"POPOTO","C1",47.5,12,22828,5,53,"1.3",1.3,2003-03-24,"alive",NA,1,"A",15788
10384,10384,"1807",NA,"STROCE","C1",46.8,10,22836,5,33,"1.3",1.3,2003-03-24,"alive",NA,1,"A",15788
10385,10385,"1808",NA,"GIROPA","C1",45.2,14.5,22844,5,42,"1.3",1.3,2003-03-24,"alive",NA,1,"A",15788
10386,10386,"1809",NA,"GYMNFO","C1",45.1,9.5,22852,5,101,"1.3",1.3,2003-03-25,"alive",NA,1,"A",15789
10387,10387,"1810",NA,"ARCHCO","C1",45.1,8.9,22860,5,NA,"0",0,2003-03-25,"dead","D",1,"D",15789
10388,10388,"1811",NA,"STREEL","C1",46.2,7.6,22868,5,NA,"0",0,2003-03-25,"missing","K",1,"A",15789
10389,10389,"1812",NA,"EUGEFI","C1",46.6,7.7,22876,5,28,"1.3",1.3,2003-03-25,"alive",NA,1,"A",15789
10390,10390,"1813",NA,"EUGEFI","C1",46.4,7.5,22884,5,29,"1.3",1.3,2003-03-25,"alive",NA,1,"A",15789
10391,10391,"1814",NA,"PHAEOP","C1",45.3,7,22892,5,43,"1.3",1.3,2003-03-25,"alive",NA,1,"A",15789
10392,10392,"1815",NA,"CALOBM","C1",46.6,6,22900,5,NA,"0",0,2003-03-25,"missing","K",1,"M",15789
10393,10393,"1816",NA,"XERONO","C1",46.3,5.8,22908,5,22,"1.3",1.3,2003-03-25,"alive",NA,1,"A",15789
10394,10394,"1817",NA,"GLYCCH","C1",45.3,2.6,22916,5,64,"1.3",1.3,2003-03-25,"alive",NA,1,"A",15789
10395,10395,"1818",NA,"DACRRO","C1",46.2,2.2,22924,5,16,"1.3",1.3,2003-03-25,"alive",NA,1,"A",15789
10396,10396,"1819",NA,"DACRRO","C1",46.9,3.7,22932,5,21,"1.3",1.3,2003-03-25,"alive",NA,1,"A",15789
10397,10397,"1820",NA,"DIOSLA","C1",46.7,2.1,22940,5,21,"1.3",1.3,2003-03-25,"alive",NA,1,"A",15789
10398,10398,"1821",NA,"PIMEGR","C1",47.5,2.5,22948,5,29,"1.3",1.3,2003-03-25,"alive",NA,1,"A",15789
10399,10399,"1822",NA,"GONIMA","C1",48,4,22956,5,NA,"0",0,2003-03-25,"missing","K",1,"A",15789
10400,10400,"1825",NA,"CANAPA","C1",45.3,0,22964,5,32,"1.3",1.3,2003-03-25,"alive",NA,1,"A",15789
10401,10401,"1827",NA,"CANAPA","C1",40,2,22972,5,16,"1.3",1.3,2003-03-25,"alive","L;S",1,"A",15789
10402,10402,"1828",NA,"STROCE","C1",40.5,1.2,22980,5,NA,"0",0,2003-03-25,"missing","K",1,"M",15789
10403,10403,"1829",NA,"LITSAC","C1",41,1.2,22988,5,NA,"0",0,2003-03-25,"missing","K",1,"M",15789
10404,10404,"1830",NA,"EUGESD","C1",42.1,1.5,22996,5,25,"1.3",1.3,2003-03-25,"alive",NA,1,"A",15789
10405,10405,"1832",NA,"PALAKI","C1",42,2,23004,5,38,"1.3",1.3,2003-03-25,"alive",NA,1,"A",15789
10406,10406,"1834",NA,"GLYCCH","C1",40,2.1,23012,5,16,"1.3",1.3,2003-03-25,"alive",NA,1,"A",15789
10407,10407,"1835",NA,"POPOTO","C1",40,2.5,23020,5,NA,"0",0,2003-03-25,"missing","K",1,"A",15789
10408,10408,"1836",NA,"ACTIML","C1",40.1,2.7,23028,5,26,"1.3",1.3,2003-03-25,"alive",NA,1,"A",15789
10409,10409,"1837",NA,"DIOSLA","C1",40.8,2.8,23036,5,22,"1.3",1.3,2003-03-25,"alive",NA,1,"A",15789
10410,10410,"1838",NA,"GARCSC","C1",40,2,23044,5,16,"1.3",1.3,2003-03-25,"alive",NA,1,"A",15789
10411,10411,"1839",NA,"CANAPA","C1",40.1,5.1,23052,5,25,"1.3",1.3,2003-03-24,"alive",NA,1,"A",15788
10412,10412,"1840",NA,"GREWBL","C1",41.2,5,23060,5,NA,"0",0,2003-03-24,"missing","K",1,"M",15788
10413,10413,"1841",NA,"STREEL","C1",42,6.2,23068,5,NA,"0",0,2003-03-24,"missing","K",1,"M",15788
10414,10414,"1842",NA,"PAR1MA","C1",42.5,6,23076,5,NA,"0",0,2003-03-24,"missing","K",1,"M",15788
10415,10415,"1843",NA,"GIROPA","C1",41,7.4,23084,5,NA,"0",0,2003-03-24,"dead","D",1,"D",15788
10416,10416,"1844",NA,"CALOBM","C1",42,7,23092,5,NA,"0",0,2003-03-24,"missing","K",1,"M",15788
10417,10417,"1845",NA,"STROCE","C1",41.9,7.6,23100,5,NA,"0",0,2003-03-24,"missing","K",1,"M",15788
10418,10418,"1847",NA,"CYATRA","C1",41,9.1,23108,5,NA,"0",0,2003-03-24,"missing","K",1,"A",15788
10419,10419,"1848",NA,"POPOTO","C1",40.3,11.2,23116,5,26,"1.3",1.3,2003-03-24,"alive","M",1,"A",15788
10420,10420,"1850",NA,"CANAPA","C1",40.2,11.1,23124,5,NA,"0",0,2003-03-24,"missing","K",1,"M",15788
10421,10421,"1851",NA,"XANTEU","C1",40,12.2,23132,5,51,"1.3",1.3,2003-03-24,"alive",NA,1,"A",15788
10422,10422,"1852",NA,"CALOBM","C1",42,12.6,23140,5,12,"1.3",1.3,2003-03-24,"alive",NA,1,"A",15788
10423,10423,"1853",NA,"XANTEU","C1",41.7,15.5,23148,5,35,"1.3",1.3,2003-03-24,"alive",NA,1,"A",15788
10424,10424,"1854",NA,"STREEL","C1",40.2,17.4,23156,5,26,"1.3",1.3,2003-03-24,"alive",NA,1,"A",15788
10425,10425,"1855",NA,"GONYMA","C1",42,17.5,23164,5,19,"1.3",1.3,2003-03-24,"alive",NA,1,"A",15788
10426,10426,"1856",NA,"DIOSLA","C1",42.5,17.5,23172,5,24,"1.3",1.3,2003-03-24,"alive",NA,1,"A",15788
10427,10427,"1858",NA,"GIROPA","C1",41.6,19.9,23180,5,183,"1.3",1.3,2003-03-24,"alive",NA,1,"A",15788
10428,10428,"1859",NA,"OCHAAM","C1",42,18.9,23188,5,40,"1.3",1.3,2003-03-24,"alive",NA,1,"A",15788
10429,10429,"1860",NA,"EUGENG","C1",42.7,19,23196,5,803,"1.3",1.3,2003-03-24,"alive","I",1,"A",15788
